Countries,Forests
Belgium,677.40
Bulgaria,3327.00
Czech Republic,2629.42
Denmark,543.25
Germany (until 1990 former territory of the FRG),11300.00
Estonia,2205.90
Ireland,465.00
Greece,3299.00
Spain,13809.49
France,14436.00
Croatia,1850.00
Italy,7590.00
Cyprus,161.11
Latvia,3173.00
Lithuania,1945.00
Luxembourg,85.80
Hungary,1801.26
Malta,0.35
Netherlands,345.00
Austria,3776.00
Poland,8881.00
Portugal,3436.19
Romania,6371.00
Slovenia,1188.00
Slovakia,1921.70
Finland,21896.77
Sweden,28063.00
United Kingdom,2778.00
Iceland,16.06
Liechtenstein,6.10
