Country,Current year,Average in the period,Country size
Andorra [AD],0,0,45221
Albania [AL],25041,14979,2876203
Austria [AT],699,1885,8380920
Åland Islands [AX],0,0,149696
Bosnia and Herzegovina [BA],45724,19891,5107961
Belgium [BE],0,141,3066748
Bulgaria [BG],72006,103608,11164672
Belarus [BY],6230,40981,20645011
Switzerland [CH],49,121,4122785
Czechia [CZ],4379,1390,7868762
Germany [DE],2459,2130,35705639
Denmark [DK],0,3126,4303650
Estonia [EE],442,901,4535161
Spain [ES],120980,106841,50661832
Finland [FI],0,1801,33552933
Faroe Islands [FO],0,0,143411
France [FR],42669,37624,54933444
United Kingdom of Great Britain and Northern Ireland [GB],823,3641,24497445
Guernsey [GG],0,0,8824
Gibraltar [GI],0,0,722
Greece [GR],29696,54675,13274338
Croatia [HR],40245,9612,5707768
Hungary [HU],2912,16482,9300673
Ireland [IE],3663,1413,7023645
Isle of Man [IM],0,0,57841
Iceland [IS],0,0,10178387
Italy [IT],113253,98194,30091984
Jersey [JE],0,0,12491
Liechtenstein [LI],0,0,16197
Lithuania [LT],13,1695,6485731
Luxembourg [LU],0,1,257849
Latvia [LV],39,2517,6453661
Monaco [MC],0,0,235
Moldova [MD],25803,36132,3389144
Montenegro [ME],29164,7331,1334260
Macedonia [MK],15388,7700,2484483
Malta [MT],0,0,32599
Netherlands [NL],0,36,3760360
Norway [NO],16,804,32379047
Poland [PL],689,7507,31158207
Portugal [PT],461079,136082,9199802
Romania [RO],130033,189234,23829429
Serbia [RS],23603,38803,7824713
Russian Federation [RU],7643110,12566412,1686710783
Sweden [SE],176,1020,44833859
Slovenia [SI],83,204,1997604
Svalbard and Jan Mayen [SJ],0,0,5996551
Slovakia [SK],696,1594,4905044
San Marino [SM],0,0,6122
Turkey [TR],348919,581691,78180695
Ukraine [UA],2382976,1981333,60066543
Holy See [VA],0,0,55
