,Countries,Forests
0,Belgium,677400.0
1,Bulgaria,3327000.0
2,Czech Republic,2629420.0
3,Denmark,543250.0
4,Germany (until 1990 former territory of the FRG),11300000.0
5,Estonia,2205900.0
6,Ireland,465000.0
7,Greece,3299000.0
8,Spain,13809490.0
9,France,14436000.0
10,Croatia,1850000.0
11,Italy,7590000.0
12,Cyprus,161110.0
13,Latvia,3173000.0
14,Lithuania,1945000.0
15,Luxembourg,85800.0
16,Hungary,1801260.0
17,Malta,350.0
18,Netherlands,345000.0
19,Austria,3776000.0
20,Poland,8881000.0
21,Portugal,3436190.0
22,Romania,6371000.0
23,Slovenia,1188000.0
24,Slovakia,1921700.0
25,Finland,21896770.0
26,Sweden,28063000.0
27,United Kingdom,2778000.0
28,Iceland,16059.999999999998
29,Liechtenstein,6100.0
